"ID","ThoiGian","Anh","MaTram","x1","y1","x2","y2","DoChinhXac","KinhDo","ViDo","Goc","KhoangCach","DiaHinh_Cao","DiaHinh_DoDoc","DiaHinh_HuongDoc","DiaHinh_Xa","DiaHinh_MaXa","DiaHinh_Huyen","DiaHinh_MaHuyen","DiaHinh_Tinh","DiaHinh_MaTinh","DaTiepNhan","Nhan"
15,2025-08-29 07:07:34.000,/media/images/hanoi/SocSon/smoke15.jpg,SocSon,48.16,266.66,108.87,359.36,0.83,105.8939702946,21.2335393679,120,9511.02,8.00,3.44,241.70,Xuân Giang,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
16,2025-08-29 14:32:10.000,/media/images/hanoi/SocSon/smoke16.jpg,SocSon,622.54,120.19,684.54,201.39,0.81,105.8173015544,21.2809254078,30,295.54,74.00,4.02,280.01,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
17,2025-08-30 15:08:02.000,/media/images/hanoi/SocSon/smoke17.jpg,SocSon,0.63,0.49,309.51,346.21,0.82,105.8939702946,21.2335393679,120,9511.02,8.00,3.44,241.70,Xuân Giang,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
18,2025-08-30 15:37:33.000,/media/images/hanoi/SocSon/smoke18.jpg,SocSon,516.64,107.18,865.44,244.53,0.84,105.8173015544,21.2809254078,30,295.54,74.00,4.02,280.01,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
19,2025-08-30 16:35:30.000,/media/images/hanoi/SocSon/smoke19.jpg,SocSon,604.80,151.17,695.04,206.86,0.82,105.8609947724,21.2005642090,150,9851.86,9.00,3.39,164.05,Phù Lỗ,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
20,2025-08-31 15:42:48.000,/media/images/hanoi/SocSon/smoke20.jpg,SocSon,638.66,288.40,695.20,437.60,0.90,105.8939702946,21.2335393679,120,9511.02,8.00,3.44,241.70,Xuân Giang,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
21,2025-09-01 06:51:37.000,/media/images/hanoi/SocSon/smoke21.jpg,SocSon,799.59,172.57,933.69,266.46,0.80,105.8173015544,21.2809254078,30,295.54,74.00,4.02,280.01,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
22,2025-09-01 15:06:36.000,/media/images/hanoi/SocSon/smoke22.jpg,SocSon,112.74,206.29,195.35,263.18,0.80,105.8206314255,21.2812874915,60,570.59,78.00,18.08,184.29,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
23,2025-09-01 17:06:16.000,/media/images/hanoi/SocSon/smoke23.jpg,SocSon,0.00,2.67,269.65,353.85,0.80,105.8939702946,21.2335393679,120,9511.02,8.00,3.44,241.70,Xuân Giang,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
24,2025-09-01 17:12:03.000,/media/images/hanoi/SocSon/smoke24.jpg,SocSon,0.00,0.86,219.37,282.68,0.92,105.8609947724,21.2005642090,150,9851.86,9.00,3.39,164.05,Phù Lỗ,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
64,2025-09-26 11:33:06.000,/media/images/hanoi/SocSon/smoke64.jpg,SocSon,693.98,137.12,1028.09,267.94,0.83,105.8187390662,21.2810760942,30,400.30,59.00,4.07,300.96,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
65,2025-09-26 16:25:51.000,/media/images/hanoi/SocSon/smoke65.jpg,SocSon,0.06,3.55,316.67,334.13,0.86,105.8266546733,21.2694878208,120,1501.16,50.00,6.37,100.49,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
66,2025-09-26 16:27:21.000,/media/images/hanoi/SocSon/smoke66.jpg,SocSon,0.00,1.79,292.25,346.20,0.82,105.8295236468,21.2670767384,120,1901.47,57.00,14.11,119.05,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
67,2025-09-26 16:43:07.000,/media/images/hanoi/SocSon/smoke67.jpg,SocSon,201.73,249.72,301.02,294.63,0.83,105.8133678687,21.2680562774,180,1200.91,70.00,8.84,96.01,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
68,2025-09-27 14:41:07.000,/media/images/hanoi/SocSon/smoke68.jpg,SocSon,1218.45,100.19,1280.00,198.89,0.82,105.8168615943,21.2811477581,360,300.23,75.00,12.12,245.38,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
69,2025-09-27 14:44:22.000,/media/images/hanoi/SocSon/smoke69.jpg,SocSon,0.00,144.86,85.50,236.37,0.86,105.8205360437,21.2799953507,60,500.38,68.00,20.11,194.81,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
70,2025-09-27 16:06:04.000,/media/images/hanoi/SocSon/smoke70.jpg,SocSon,514.09,267.82,586.53,308.38,0.84,105.8206039956,21.2797866692,60,500.38,65.00,19.68,197.20,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
71,2025-09-28 12:31:25.000,/media/images/hanoi/SocSon/smoke71.jpg,SocSon,0.00,5.05,281.26,354.42,0.84,105.8295301247,21.2670833761,120,1901.47,57.00,14.11,119.05,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
72,2025-09-29 11:26:45.000,/media/images/hanoi/SocSon/smoke72.jpg,SocSon,0.00,1.85,317.51,344.30,0.85,105.8273679197,21.2688809620,120,1601.24,54.00,24.12,19.09,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
73,2025-09-29 11:29:39.000,/media/images/hanoi/SocSon/smoke73.jpg,SocSon,0.67,6.67,325.54,338.79,0.92,105.8266502582,21.2694833118,120,1501.16,50.00,6.37,100.49,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
74,2025-09-29 11:33:58.000,/media/images/hanoi/SocSon/smoke74.jpg,SocSon,1.04,5.70,320.47,346.81,0.92,105.8273659325,21.2688789322,120,1601.24,54.00,24.12,19.09,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
75,2025-09-29 11:43:04.000,/media/images/hanoi/SocSon/smoke75.jpg,SocSon,1134.89,3.81,1279.92,224.35,0.83,105.8131961167,21.2794238205,270,300.23,70.00,28.64,335.34,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
47,2025-09-19 15:03:52.000,/media/images/hanoi/SocSon/smoke47.jpg,SocSon,1051.86,209.78,1149.98,296.88,0.88,105.8187995712,21.2810159178,30,400.30,59.00,4.07,300.96,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
48,2025-09-19 15:05:33.000,/media/images/hanoi/SocSon/smoke48.jpg,SocSon,321.19,172.45,403.44,282.55,0.81,105.8205800937,21.2798643170,60,500.38,65.00,19.68,197.20,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
49,2025-09-19 16:23:07.000,/media/images/hanoi/SocSon/smoke49.jpg,SocSon,49.60,256.21,116.21,364.39,0.82,105.8295979483,21.2671532962,120,1901.47,57.00,14.11,119.05,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
50,2025-09-19 16:45:37.000,/media/images/hanoi/SocSon/smoke50.jpg,SocSon,851.72,235.43,930.60,274.33,0.81,105.8187467461,21.2810686078,30,400.30,59.00,4.07,300.96,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
51,2025-09-19 16:54:22.000,/media/images/hanoi/SocSon/smoke51.jpg,SocSon,34.41,301.43,642.69,439.18,0.81,105.8205769651,21.2798741059,60,500.38,65.00,19.68,197.20,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
52,2025-09-20 06:12:14.000,/media/images/hanoi/SocSon/smoke52.jpg,SocSon,98.38,88.93,244.31,186.50,0.86,105.8244388502,21.2768404821,90,900.68,44.00,15.18,167.01,Phù Linh,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
53,2025-09-20 10:31:37.000,/media/images/hanoi/SocSon/smoke53.jpg,SocSon,1147.27,100.28,1279.93,206.06,0.83,105.8168522319,21.2811506325,360,300.23,75.00,12.12,245.38,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
54,2025-09-20 15:24:26.000,/media/images/hanoi/SocSon/smoke54.jpg,SocSon,1132.52,230.89,1216.96,298.77,0.81,105.8188178903,21.2809971422,30,400.30,59.00,4.07,300.96,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
55,2025-09-20 15:30:36.000,/media/images/hanoi/SocSon/smoke55.jpg,SocSon,0.18,242.48,132.11,318.76,0.87,105.8267402293,21.2695760133,120,1501.16,50.00,6.37,100.49,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
56,2025-09-20 15:36:12.000,/media/images/hanoi/SocSon/smoke56.jpg,SocSon,470.56,166.39,595.55,310.09,0.87,105.8206018643,21.2797938120,60,500.38,65.00,19.68,197.20,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
57,2025-09-20 16:38:04.000,/media/images/hanoi/SocSon/smoke57.jpg,SocSon,0.80,228.81,117.39,320.18,0.82,105.8267467296,21.2695827781,120,1501.16,50.00,6.37,100.49,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
4,2025-08-27 16:56:54.000,/media/images/danang/ESTEC/smoke4.jpg,ESTEC,1168.03,601.60,1278.35,668.96,0.53,105.8205538040,21.2795847868,90,373.38,61.00,17.45,201.25,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
5,2025-08-27 16:57:08.000,/media/images/danang/ESTEC/smoke5.jpg,ESTEC,1167.32,597.89,1279.47,670.08,0.52,105.8247522095,21.2750802568,120,951.00,88.00,28.27,197.61,Phù Linh,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
6,2025-08-27 16:57:23.000,/media/images/danang/ESTEC/smoke6.jpg,ESTEC,1166.53,599.42,1279.31,670.35,0.44,105.8237068859,21.2678817114,150,1477.70,60.00,14.57,140.08,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
7,2025-08-27 16:57:51.000,/media/images/danang/ESTEC/smoke7.jpg,ESTEC,1167.31,598.12,1279.48,669.42,0.54,105.8133465425,21.2733432057,210,788.10,59.00,13.29,317.79,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
9,2025-08-27 17:03:38.000,/media/images/danang/ESTECGate/smoke9.jpg,ESTECGate,386.68,192.27,422.80,271.72,0.61,105.8174006515,21.2803650026,30,98.51,63.00,13.77,305.54,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
10,2025-08-27 17:03:52.000,/media/images/danang/ESTECGate/smoke10.jpg,ESTECGate,384.31,191.12,422.75,274.35,0.74,105.8200710170,21.2813865944,60,380.39,66.00,20.27,187.59,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
25,2025-09-02 08:29:40.000,/media/images/hanoi/SocSon/smoke25.jpg,SocSon,811.61,277.41,883.06,345.13,0.84,105.8240583090,21.2785847702,90,840.12,60.00,22.24,211.16,Phù Linh,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
26,2025-09-02 08:44:07.000,/media/images/hanoi/SocSon/smoke26.jpg,SocSon,49.84,267.73,128.47,355.74,0.86,105.8939702946,21.2335393679,120,9511.02,8.00,3.44,241.70,Xuân Giang,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
27,2025-09-03 06:23:14.000,/media/images/hanoi/SocSon/smoke27.jpg,SocSon,182.39,132.34,404.39,234.19,0.81,105.8240583090,21.2785847702,90,840.12,60.00,22.24,211.16,Phù Linh,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
28,2025-09-03 08:14:46.000,/media/images/hanoi/SocSon/smoke28.jpg,SocSon,769.75,270.32,826.84,351.39,0.87,105.8240583090,21.2785847702,90,840.12,60.00,22.24,211.16,Phù Linh,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
29,2025-09-03 08:14:53.000,/media/images/hanoi/SocSon/smoke29.jpg,SocSon,55.48,262.81,111.39,345.18,0.87,105.8939702946,21.2335393679,120,9511.02,8.00,3.44,241.70,Xuân Giang,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
30,2025-09-03 09:31:50.000,/media/images/hanoi/SocSon/smoke30.jpg,SocSon,526.36,243.51,645.32,314.90,0.82,105.8206314255,21.2812874915,60,570.59,78.00,18.08,184.29,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
58,2025-09-20 16:45:06.000,/media/images/hanoi/SocSon/smoke58.jpg,SocSon,720.17,282.29,862.85,351.03,0.87,105.8206324650,21.2796864815,60,500.38,69.00,10.36,237.72,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
60,2025-09-25 10:42:55.000,/media/images/hanoi/SocSon/smoke60.jpg,SocSon,825.41,212.92,961.01,333.94,0.80,105.8152681475,21.2812089322,330,300.23,58.00,12.02,353.42,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
31,2025-09-03 09:33:16.000,/media/images/hanoi/SocSon/smoke31.jpg,SocSon,1241.33,223.44,1280.00,316.69,0.82,105.8173015544,21.2809254078,30,295.54,74.00,4.02,280.01,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
32,2025-09-03 13:28:57.000,/media/images/hanoi/SocSon/smoke32.jpg,SocSon,1062.76,280.13,1110.77,324.47,0.84,105.8240583090,21.2785847702,90,840.12,60.00,22.24,211.16,Phù Linh,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
33,2025-09-03 13:57:26.000,/media/images/hanoi/SocSon/smoke33.jpg,SocSon,1178.49,107.27,1280.00,215.26,0.86,105.8159502397,21.2812875030,360,300.53,58.00,17.47,243.10,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
34,2025-09-03 13:59:17.000,/media/images/hanoi/SocSon/smoke34.jpg,SocSon,515.04,58.53,644.99,217.66,0.84,105.8173015544,21.2809254078,30,295.54,74.00,4.02,280.01,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
35,2025-09-03 14:21:48.000,/media/images/hanoi/SocSon/smoke35.jpg,SocSon,358.47,277.35,401.82,323.83,0.81,105.8939702946,21.2335393679,120,9511.02,8.00,3.44,241.70,Xuân Giang,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
36,2025-09-03 15:13:08.000,/media/images/hanoi/SocSon/smoke36.jpg,SocSon,1196.99,201.36,1279.44,304.78,0.90,105.8173015544,21.2809254078,30,295.54,74.00,4.02,280.01,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
37,2025-09-03 15:17:39.000,/media/images/hanoi/SocSon/smoke37.jpg,SocSon,475.43,219.89,580.54,301.44,0.87,105.8206314255,21.2812874915,60,570.59,78.00,18.08,184.29,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
38,2025-09-04 14:31:32.000,/media/images/hanoi/SocSon/smoke38.jpg,SocSon,411.72,176.97,463.08,284.98,0.81,105.8206314255,21.2812874915,60,570.59,78.00,18.08,184.29,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
39,2025-09-04 15:24:36.000,/media/images/hanoi/SocSon/smoke39.jpg,SocSon,1076.43,199.23,1171.02,290.43,0.85,105.8173015544,21.2809254078,30,295.54,74.00,4.02,280.01,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
40,2025-09-04 15:31:58.000,/media/images/hanoi/SocSon/smoke40.jpg,SocSon,404.44,165.15,468.62,289.04,0.84,105.8206314255,21.2812874915,60,570.59,78.00,18.08,184.29,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
61,2025-09-25 10:49:23.000,/media/images/hanoi/SocSon/smoke61.jpg,SocSon,0.37,4.99,315.07,281.69,0.89,105.8294126710,21.2391311478,150,4603.53,19.00,3.36,326.31,Mai Đình,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
76,2025-09-29 11:46:50.000,/media/images/hanoi/SocSon/smoke76.jpg,SocSon,0.00,4.97,408.74,337.73,0.82,105.8266116848,21.2694440913,120,1501.16,50.00,6.37,100.49,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
77,2025-09-29 11:48:13.000,/media/images/hanoi/SocSon/smoke77.jpg,SocSon,697.28,11.92,1279.38,329.12,0.83,105.8251912498,21.2759676144,90,1000.76,97.00,20.73,154.54,Phù Linh,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
78,2025-09-29 11:52:38.000,/media/images/hanoi/SocSon/smoke78.jpg,SocSon,1.08,6.71,359.17,343.67,0.86,105.8273466452,21.2688592712,120,1601.24,54.00,24.12,19.09,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
79,2025-09-29 11:54:15.000,/media/images/hanoi/SocSon/smoke79.jpg,SocSon,0.82,17.14,302.72,277.36,0.90,105.8291435367,21.2399958137,150,4503.45,19.00,3.39,74.05,Mai Đình,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
80,2025-09-29 12:27:52.000,/media/images/hanoi/SocSon/smoke80.jpg,SocSon,0.00,0.42,441.29,303.57,0.88,105.8265964290,21.2694286647,120,1501.16,50.00,6.37,100.49,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
81,2025-09-29 13:42:01.000,/media/images/hanoi/SocSon/smoke81.jpg,SocSon,3.61,103.63,141.37,246.99,0.88,105.8131961258,21.2777457536,240,300.23,62.00,22.53,11.31,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
82,2025-09-29 13:42:40.000,/media/images/hanoi/SocSon/smoke82.jpg,SocSon,11.22,96.09,153.17,237.77,0.85,105.8178870801,21.2805929243,30,300.23,62.00,12.52,331.56,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
83,2025-09-29 13:43:06.000,/media/images/hanoi/SocSon/smoke83.jpg,SocSon,0.00,3.19,267.94,280.84,0.83,105.8292139035,21.2400167647,150,4503.45,19.00,3.39,74.05,Mai Đình,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
84,2025-09-29 14:19:15.000,/media/images/hanoi/SocSon/smoke84.jpg,SocSon,1194.62,213.81,1279.91,382.34,0.85,105.8188332971,21.2809811435,30,400.30,59.00,4.07,300.96,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
85,2025-09-29 14:19:21.000,/media/images/hanoi/SocSon/smoke85.jpg,SocSon,1181.05,207.98,1280.00,345.91,0.82,105.8206778992,21.2795026635,60,500.38,69.00,10.36,237.72,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
86,2025-09-29 14:20:20.000,/media/images/hanoi/SocSon/smoke86.jpg,SocSon,1189.21,191.51,1280.00,388.04,0.82,105.8146640025,21.2799277689,300,200.15,53.00,16.55,329.57,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
87,2025-09-29 14:25:49.000,/media/images/hanoi/SocSon/smoke87.jpg,SocSon,0.59,1.13,318.59,343.93,0.85,105.8273670866,21.2688801109,120,1601.24,54.00,24.12,19.09,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
88,2025-09-29 15:39:13.000,/media/images/hanoi/SocSon/smoke88.jpg,SocSon,0.49,9.54,248.48,275.41,0.81,105.8292513755,21.2400279717,150,4503.45,19.00,3.39,74.05,Mai Đình,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
41,2025-09-18 15:22:52.000,/media/images/danang/ESTEC/smoke41.jpg,ESTEC,749.39,441.07,813.38,478.23,0.45,105.8183344361,21.2808402927,30,200.15,58.00,8.98,281.89,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
42,2025-09-18 15:22:57.000,/media/images/danang/ESTEC/smoke42.jpg,ESTEC,1138.07,613.68,1249.43,686.49,0.42,105.8191045034,21.2813904156,30,300.23,53.00,10.30,325.95,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
43,2025-09-18 15:23:02.000,/media/images/danang/ESTEC/smoke43.jpg,ESTEC,748.80,439.68,816.78,477.23,0.32,105.8183346167,21.2808401198,30,200.15,58.00,8.98,281.89,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
89,2025-09-30 08:21:05.000,/media/images/hanoi/SocSon/smoke89.jpg,SocSon,1137.30,79.54,1201.74,124.25,0.82,105.8141693321,21.2734461046,180,600.45,41.00,11.11,13.17,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
90,2025-09-30 08:24:08.000,/media/images/hanoi/SocSon/smoke90.jpg,SocSon,701.90,0.94,999.37,108.53,0.85,105.8138605421,21.2767143953,210,300.23,58.00,11.95,0.00,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
91,2025-09-30 09:25:08.000,/media/images/hanoi/SocSon/smoke91.jpg,SocSon,0.62,3.93,278.38,281.22,0.81,105.8300748528,21.2374386117,150,4803.68,17.00,0.74,108.43,Mai Đình,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
92,2025-09-30 09:29:15.000,/media/images/hanoi/SocSon/smoke92.jpg,SocSon,0.48,2.80,321.04,353.26,0.86,105.8273659200,21.2688789194,120,1601.24,54.00,24.12,19.09,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
93,2025-09-30 09:43:26.000,/media/images/hanoi/SocSon/smoke93.jpg,SocSon,0.00,0.07,270.77,360.54,0.86,105.8295363043,21.2670897148,120,1901.47,57.00,14.11,119.05,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
94,2025-09-30 09:49:17.000,/media/images/hanoi/SocSon/smoke94.jpg,SocSon,1.00,5.92,301.23,278.14,0.87,105.8291461284,21.2399965832,150,4503.45,19.00,3.39,74.05,Mai Đình,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
95,2025-09-30 10:29:08.000,/media/images/hanoi/SocSon/smoke95.jpg,SocSon,2.69,2.41,463.41,322.68,0.91,105.8265847832,21.2694169210,120,1501.16,50.00,6.37,100.49,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
96,2025-09-30 10:30:39.000,/media/images/hanoi/SocSon/smoke96.jpg,SocSon,0.00,1.25,312.23,343.43,0.86,105.8273705408,21.2688836406,120,1601.24,54.00,24.12,19.09,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
97,2025-09-30 11:03:09.000,/media/images/hanoi/SocSon/smoke97.jpg,SocSon,0.00,0.00,305.08,339.03,0.82,105.8266601038,21.2694933724,120,1501.16,50.00,6.37,100.49,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
98,2025-09-30 11:46:55.000,/media/images/hanoi/SocSon/smoke98.jpg,SocSon,0.00,0.00,312.68,350.36,0.85,105.8273703173,21.2688834121,120,1601.24,54.00,24.12,19.09,Tiên Dược,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
99,2025-09-30 13:17:46.000,/media/images/hanoi/SocSon/smoke99.jpg,SocSon,1.29,15.27,272.81,275.82,0.86,105.8292017456,21.2400131360,150,4503.45,19.00,3.39,74.05,Mai Đình,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
